Date,Open,High,Low,Close,Change(Pips),Change(%)
07/09/2021 0:00,130.077,130.175,130.046,130.125,4.8,0.04
07/08/2021 23:45,130.112,130.13,130.05,130.077,-3.5,-0.03
07/08/2021 23:30,130.073,130.13,130.072,130.113,4,0.03
07/08/2021 23:15,130.05,130.058,130.035,130.047,-0.3,0
07/08/2021 23:00,130.04,130.063,130.033,130.051,1.1,0.01
07/08/2021 22:45,130.059,130.083,130.035,130.037,-2.2,-0.02
07/08/2021 22:30,130.065,130.065,130.044,130.057,-0.8,-0.01
07/08/2021 22:15,130.053,130.069,130.052,130.068,1.5,0.01
07/08/2021 22:00,130.004,130.063,129.996,130.055,5.1,0.04
07/08/2021 21:45,130.017,130.032,129.985,129.986,-3.1,-0.02
07/08/2021 21:30,130.001,130.022,129.989,130.013,1.2,0.01
07/08/2021 21:15,129.956,130.006,129.925,130.004,4.8,0.04
07/08/2021 21:00,129.931,129.973,129.929,129.957,2.6,0.02
07/08/2021 20:45,130.011,130.028,129.991,130.028,1.7,0.01
07/08/2021 20:30,129.999,130.011,129.989,130.008,0.9,0.01
07/08/2021 20:15,130.031,130.032,130.003,130.004,-2.7,-0.02
07/08/2021 20:00,130.061,130.067,130.021,130.029,-3.2,-0.02
07/08/2021 19:45,130.048,130.064,130.032,130.064,1.6,0.01
07/08/2021 19:30,130.08,130.1,130.046,130.048,-3.2,-0.02
07/08/2021 19:15,130.045,130.08,130.027,130.079,3.4,0.03
07/08/2021 19:00,130.005,130.067,130.005,130.044,3.9,0.03
07/08/2021 18:45,129.999,130.05,129.99,130.003,0.4,0
07/08/2021 18:30,130.013,130.038,129.998,130,-1.3,-0.01
07/08/2021 18:15,130.015,130.024,129.996,130.015,0,0
07/08/2021 18:00,130.046,130.047,130.013,130.015,-3.1,-0.02
07/08/2021 17:45,130.043,130.05,130.015,130.047,0.4,0
07/08/2021 17:30,130.024,130.058,130.02,130.042,1.8,0.01
07/08/2021 17:15,129.988,130.029,129.987,130.027,3.9,0.03
07/08/2021 17:00,130.057,130.076,129.979,129.988,-6.9,-0.05
07/08/2021 16:45,130.045,130.072,130.036,130.056,1.1,0.01
07/08/2021 16:30,130.045,130.06,130.032,130.045,0,0
07/08/2021 16:15,130.038,130.052,130,130.043,0.5,0
07/08/2021 16:00,130.025,130.053,130.007,130.035,1,0.01
07/08/2021 15:45,130.042,130.096,130.022,130.025,-1.7,-0.01
07/08/2021 15:30,130.071,130.088,129.966,130.04,-3.1,-0.02
07/08/2021 15:15,130.077,130.107,130.017,130.071,-0.6,0
07/08/2021 15:00,129.879,130.092,129.827,130.08,20.1,0.15
07/08/2021 14:45,130.005,130.009,129.856,129.878,-12.7,-0.1
07/08/2021 14:30,130.023,130.031,129.937,130.006,-1.7,-0.01
07/08/2021 14:15,129.96,130.043,129.931,130.024,6.4,0.05
07/08/2021 14:00,130.049,130.067,129.903,129.959,-9,-0.07
07/08/2021 13:45,130.019,130.091,129.984,130.052,3.3,0.03
07/08/2021 13:30,130.059,130.164,129.994,130.015,-4.4,-0.03
07/08/2021 13:15,129.958,130.072,129.935,130.062,10.4,0.08
07/08/2021 13:00,129.975,130.013,129.917,129.961,-1.4,-0.01
07/08/2021 12:45,129.897,130.16,129.897,129.979,8.2,0.06
07/08/2021 12:30,129.968,129.99,129.762,129.895,-7.3,-0.06
07/08/2021 12:15,129.908,129.973,129.734,129.969,6.1,0.05
07/08/2021 12:00,129.878,129.926,129.797,129.907,2.9,0.02
07/08/2021 11:45,130.011,130.027,129.837,129.879,-13.2,-0.1
07/08/2021 11:30,130.058,130.058,129.941,130.008,-5,-0.04
07/08/2021 11:15,129.963,130.1,129.958,130.054,9.1,0.07
07/08/2021 11:00,130.019,130.072,129.936,129.963,-5.6,-0.04
07/08/2021 10:45,129.971,130.019,129.891,130.019,4.8,0.04
07/08/2021 10:30,129.897,129.988,129.831,129.969,7.2,0.06
07/08/2021 10:15,130.019,130.024,129.893,129.899,-12,-0.09
07/08/2021 10:00,130.056,130.114,130.008,130.018,-3.8,-0.03
07/08/2021 9:45,130.116,130.154,130.041,130.057,-5.9,-0.05
07/08/2021 9:30,129.991,130.151,129.976,130.116,12.5,0.1
07/08/2021 9:15,129.977,129.994,129.918,129.994,1.7,0.01
07/08/2021 9:00,129.864,129.984,129.862,129.972,10.8,0.08
07/08/2021 8:45,129.698,129.911,129.695,129.867,16.9,0.13
07/08/2021 8:30,129.748,129.783,129.625,129.7,-4.8,-0.04
07/08/2021 8:15,129.803,129.837,129.717,129.747,-5.6,-0.04
07/08/2021 8:00,129.775,129.845,129.687,129.807,3.2,0.02
07/08/2021 7:45,129.793,129.793,129.625,129.771,-2.2,-0.02
07/08/2021 7:30,129.818,129.861,129.762,129.801,-1.7,-0.01
07/08/2021 7:15,129.868,129.888,129.745,129.815,-5.3,-0.04
07/08/2021 7:00,129.957,130.018,129.795,129.868,-8.9,-0.07
07/08/2021 6:45,130.024,130.057,129.924,129.96,-6.4,-0.05
07/08/2021 6:30,130.121,130.135,130.004,130.025,-9.6,-0.07
07/08/2021 6:15,130.163,130.194,130.109,130.124,-3.9,-0.03
07/08/2021 6:00,130.184,130.238,130.137,130.162,-2.2,-0.02
07/08/2021 5:45,130.12,130.189,130.105,130.185,6.5,0.05
07/08/2021 5:30,130.223,130.225,130.094,130.123,-10,-0.08
07/08/2021 5:15,130.273,130.28,130.165,130.226,-4.7,-0.04
07/08/2021 5:00,130.385,130.386,130.264,130.272,-11.3,-0.09
07/08/2021 4:45,130.34,130.39,130.34,130.38,4,0.03
07/08/2021 4:30,130.375,130.376,130.336,130.34,-3.5,-0.03
07/08/2021 4:15,130.367,130.38,130.352,130.378,1.1,0.01
07/08/2021 4:00,130.383,130.394,130.344,130.367,-1.6,-0.01
07/08/2021 3:45,130.417,130.429,130.381,130.385,-3.2,-0.02
07/08/2021 3:30,130.376,130.436,130.366,130.415,3.9,0.03
07/08/2021 3:15,130.381,130.388,130.358,130.372,-0.9,-0.01
07/08/2021 3:00,130.379,130.404,130.355,130.382,0.3,0
07/08/2021 2:45,130.335,130.385,130.334,130.384,4.9,0.04
07/08/2021 2:30,130.337,130.37,130.33,130.337,0,0
07/08/2021 2:15,130.32,130.342,130.294,130.336,1.6,0.01
07/08/2021 2:00,130.233,130.322,130.166,130.321,8.8,0.07
07/08/2021 1:45,130.356,130.356,130.194,130.233,-12.3,-0.09
07/08/2021 1:30,130.265,130.361,130.244,130.354,8.9,0.07
07/08/2021 1:15,130.267,130.304,130.222,130.268,0.1,0
07/08/2021 1:00,130.34,130.341,130.253,130.264,-7.6,-0.06
07/08/2021 0:45,130.375,130.38,130.319,130.34,-3.5,-0.03
07/08/2021 0:30,130.376,130.38,130.321,130.376,0,0
07/08/2021 0:15,130.403,130.406,130.36,130.376,-2.7,-0.02
07/08/2021 0:00,130.469,130.488,130.366,130.399,-7,-0.05
07/07/2021 23:45,130.494,130.495,130.448,130.473,-2.1,-0.02
07/07/2021 23:30,130.472,130.492,130.465,130.487,1.5,0.01
07/07/2021 23:15,130.468,130.48,130.461,130.473,0.5,0
07/07/2021 23:00,130.484,130.491,130.46,130.467,-1.7,-0.01
07/07/2021 22:45,130.492,130.509,130.474,130.486,-0.6,0
07/07/2021 22:30,130.522,130.523,130.472,130.489,-3.3,-0.03
07/07/2021 22:15,130.49,130.522,130.488,130.52,3,0.02
07/07/2021 22:00,130.468,130.504,130.463,130.495,2.7,0.02
07/07/2021 21:45,130.455,130.485,130.453,130.468,1.3,0.01
07/07/2021 21:30,130.45,130.456,130.432,130.456,0.6,0
07/07/2021 21:15,130.417,130.463,130.416,130.451,3.4,0.03
07/07/2021 21:00,130.424,130.482,130.413,130.417,-0.7,-0.01
07/07/2021 20:45,130.454,130.455,130.42,130.424,-3,-0.02
07/07/2021 20:30,130.461,130.485,130.452,130.452,-0.9,-0.01
07/07/2021 20:15,130.468,130.471,130.438,130.459,-0.9,-0.01
07/07/2021 20:00,130.469,130.482,130.427,130.471,0.2,0
07/07/2021 19:45,130.537,130.555,130.44,130.468,-6.9,-0.05
07/07/2021 19:30,130.557,130.559,130.53,130.537,-2,-0.02
07/07/2021 19:15,130.552,130.565,130.535,130.557,0.5,0
07/07/2021 19:00,130.591,130.606,130.542,130.555,-3.6,-0.03
07/07/2021 18:45,130.612,130.62,130.583,130.591,-2.1,-0.02
07/07/2021 18:30,130.601,130.611,130.563,130.608,0.7,0.01
07/07/2021 18:15,130.622,130.648,130.586,130.602,-2,-0.02
07/07/2021 18:00,130.597,130.723,130.586,130.622,2.5,0.02
07/07/2021 17:45,130.647,130.653,130.594,130.599,-4.8,-0.04
07/07/2021 17:30,130.642,130.683,130.642,130.649,0.7,0.01
07/07/2021 17:15,130.626,130.656,130.612,130.641,1.5,0.01
07/07/2021 17:00,130.596,130.628,130.592,130.626,3,0.02
07/07/2021 16:45,130.582,130.619,130.573,130.593,1.1,0.01
07/07/2021 16:30,130.567,130.588,130.549,130.582,1.5,0.01
07/07/2021 16:15,130.538,130.57,130.517,130.57,3.2,0.02
07/07/2021 16:00,130.568,130.582,130.538,130.539,-2.9,-0.02
07/07/2021 15:45,130.562,130.569,130.507,130.569,0.7,0.01
07/07/2021 15:30,130.557,130.635,130.54,130.564,0.7,0.01
07/07/2021 15:15,130.527,130.573,130.475,130.555,2.8,0.02
07/07/2021 15:00,130.568,130.6,130.505,130.529,-3.9,-0.03
07/07/2021 14:45,130.547,130.577,130.483,130.568,2.1,0.02
07/07/2021 14:30,130.52,130.56,130.464,130.547,2.7,0.02
07/07/2021 14:15,130.64,130.657,130.517,130.518,-12.2,-0.09
07/07/2021 14:00,130.678,130.686,130.595,130.64,-3.8,-0.03
07/07/2021 13:45,130.701,130.731,130.633,130.679,-2.2,-0.02
07/07/2021 13:30,130.772,130.87,130.672,130.701,-7.1,-0.05
07/07/2021 13:15,130.679,130.82,130.676,130.772,9.3,0.07
07/07/2021 13:00,130.666,130.769,130.653,130.683,1.7,0.01
07/07/2021 12:45,130.712,130.722,130.621,130.662,-5,-0.04
07/07/2021 12:30,130.733,130.733,130.652,130.713,-2,-0.02
07/07/2021 12:15,130.858,130.866,130.73,130.735,-12.3,-0.09
07/07/2021 12:00,130.854,130.899,130.841,130.859,0.5,0
07/07/2021 11:45,130.883,130.896,130.851,130.852,-3.1,-0.02
07/07/2021 11:30,130.767,130.884,130.764,130.884,11.7,0.09
07/07/2021 11:15,130.846,130.846,130.764,130.767,-7.9,-0.06
07/07/2021 11:00,130.907,130.912,130.843,130.844,-6.3,-0.05
07/07/2021 10:45,130.924,130.948,130.885,130.906,-1.8,-0.01
07/07/2021 10:30,130.989,130.989,130.921,130.924,-6.5,-0.05
07/07/2021 10:15,130.984,131.011,130.956,130.989,0.5,0
07/07/2021 10:00,131.002,131.038,130.98,130.989,-1.3,-0.01
07/07/2021 9:45,130.951,131.016,130.947,131.001,5,0.04
07/07/2021 9:30,130.931,130.997,130.921,130.949,1.8,0.01
07/07/2021 9:15,130.942,130.977,130.924,130.936,-0.6,0
07/07/2021 9:00,130.948,131.011,130.937,130.942,-0.6,0
07/07/2021 8:45,130.887,130.964,130.884,130.95,6.3,0.05
07/07/2021 8:30,130.893,130.931,130.862,130.883,-1,-0.01
07/07/2021 8:15,130.895,130.933,130.857,130.891,-0.4,0
07/07/2021 8:00,130.831,130.957,130.827,130.893,6.2,0.05
07/07/2021 7:45,130.737,130.854,130.732,130.835,9.8,0.07
07/07/2021 7:30,130.836,130.836,130.67,130.734,-10.2,-0.08
07/07/2021 7:15,130.882,130.91,130.795,130.84,-4.2,-0.03
07/07/2021 7:00,130.932,130.97,130.784,130.882,-5,-0.04
07/07/2021 6:45,130.909,130.939,130.892,130.932,2.3,0.02
07/07/2021 6:30,130.914,130.968,130.901,130.907,-0.7,-0.01
07/07/2021 6:15,130.845,130.932,130.841,130.918,7.3,0.06
07/07/2021 6:00,130.835,130.848,130.778,130.839,0.4,0
07/07/2021 5:45,130.832,130.865,130.809,130.838,0.6,0
07/07/2021 5:30,130.764,130.842,130.753,130.833,6.9,0.05
07/07/2021 5:15,130.757,130.777,130.725,130.764,0.7,0.01
07/07/2021 5:00,130.681,130.766,130.657,130.754,7.3,0.06
07/07/2021 4:45,130.779,130.779,130.58,130.682,-9.7,-0.07
07/07/2021 4:30,130.828,130.838,130.768,130.777,-5.1,-0.04
07/07/2021 4:15,130.786,130.843,130.786,130.828,4.2,0.03
07/07/2021 4:00,130.785,130.798,130.772,130.792,0.7,0.01
07/07/2021 3:45,130.767,130.791,130.76,130.781,1.4,0.01
07/07/2021 3:30,130.705,130.772,130.704,130.77,6.5,0.05
07/07/2021 3:15,130.659,130.722,130.653,130.703,4.4,0.03
07/07/2021 3:00,130.66,130.674,130.631,130.659,-0.1,0
07/07/2021 2:45,130.649,130.689,130.643,130.663,1.4,0.01
07/07/2021 2:30,130.603,130.666,130.603,130.645,4.2,0.03
07/07/2021 2:15,130.555,130.604,130.554,130.603,4.8,0.04
07/07/2021 2:00,130.563,130.606,130.542,130.555,-0.8,-0.01
07/07/2021 1:45,130.551,130.58,130.509,130.564,1.3,0.01
07/07/2021 1:30,130.594,130.598,130.503,130.55,-4.4,-0.03
07/07/2021 1:15,130.525,130.596,130.522,130.591,6.6,0.05
07/07/2021 1:00,130.524,130.546,130.504,130.528,0.4,0
07/07/2021 0:45,130.581,130.593,130.496,130.522,-5.9,-0.05
07/07/2021 0:30,130.621,130.638,130.566,130.581,-4,-0.03
07/07/2021 0:15,130.632,130.638,130.577,130.623,-0.9,-0.01
07/07/2021 0:00,130.757,130.757,130.601,130.628,-12.9,-0.1
07/06/2021 23:45,130.756,130.768,130.719,130.755,-0.1,0
07/06/2021 23:30,130.803,130.804,130.751,130.756,-4.7,-0.04
07/06/2021 23:15,130.791,130.811,130.791,130.808,1.7,0.01
07/06/2021 23:00,130.774,130.786,130.765,130.786,1.2,0.01
07/06/2021 22:45,130.76,130.786,130.76,130.778,1.8,0.01
07/06/2021 22:30,130.815,130.815,130.76,130.765,-5,-0.04
07/06/2021 22:15,130.793,130.812,130.781,130.812,1.9,0.01
07/06/2021 22:00,130.753,130.797,130.745,130.795,4.2,0.03
07/06/2021 21:45,130.757,130.757,130.743,130.754,-0.3,0
07/06/2021 21:30,130.726,130.769,130.724,130.758,3.2,0.02
07/06/2021 21:15,130.775,130.776,130.709,130.759,-1.6,-0.01
