Date,Open,High,Low,Close,Change(Pips),Change(%)
07/09/2021 0:00,109.806,109.878,109.791,109.839,3.3,0.03
07/08/2021 23:45,109.826,109.845,109.778,109.803,-2.3,-0.02
07/08/2021 23:30,109.818,109.833,109.807,109.822,0.4,0
07/08/2021 23:15,109.817,109.828,109.808,109.81,-0.7,-0.01
07/08/2021 23:00,109.778,109.825,109.776,109.815,3.7,0.03
07/08/2021 22:45,109.782,109.799,109.775,109.779,-0.3,0
07/08/2021 22:30,109.778,109.784,109.768,109.781,0.3,0
07/08/2021 22:15,109.77,109.779,109.766,109.777,0.7,0.01
07/08/2021 22:00,109.756,109.783,109.751,109.773,1.7,0.02
07/08/2021 21:45,109.748,109.754,109.748,109.75,0.2,0
07/08/2021 21:30,109.754,109.758,109.749,109.749,-0.5,0
07/08/2021 21:15,109.737,109.755,109.731,109.75,1.3,0.01
07/08/2021 21:00,109.722,109.739,109.712,109.739,1.7,0.02
07/08/2021 20:45,109.758,109.765,109.758,109.759,0.1,0
07/08/2021 20:30,109.768,109.771,109.758,109.759,-0.9,-0.01
07/08/2021 20:15,109.771,109.774,109.759,109.766,-0.5,0
07/08/2021 20:00,109.776,109.785,109.766,109.769,-0.7,-0.01
07/08/2021 19:45,109.807,109.813,109.771,109.776,-3.1,-0.03
07/08/2021 19:30,109.824,109.833,109.807,109.807,-1.7,-0.02
07/08/2021 19:15,109.819,109.833,109.812,109.824,0.5,0
07/08/2021 19:00,109.802,109.84,109.802,109.817,1.5,0.01
07/08/2021 18:45,109.826,109.83,109.799,109.807,-1.9,-0.02
07/08/2021 18:30,109.841,109.867,109.824,109.825,-1.6,-0.01
07/08/2021 18:15,109.824,109.845,109.82,109.843,1.9,0.02
07/08/2021 18:00,109.844,109.844,109.813,109.824,-2,-0.02
07/08/2021 17:45,109.843,109.852,109.816,109.84,-0.3,0
07/08/2021 17:30,109.835,109.867,109.834,109.842,0.7,0.01
07/08/2021 17:15,109.795,109.839,109.795,109.836,4.1,0.04
07/08/2021 17:00,109.8,109.804,109.784,109.793,-0.7,-0.01
07/08/2021 16:45,109.838,109.84,109.799,109.806,-3.2,-0.03
07/08/2021 16:30,109.841,109.844,109.824,109.831,-1,-0.01
07/08/2021 16:15,109.857,109.862,109.805,109.845,-1.2,-0.01
07/08/2021 16:00,109.821,109.866,109.815,109.854,3.3,0.03
07/08/2021 15:45,109.831,109.85,109.816,109.821,-1,-0.01
07/08/2021 15:30,109.818,109.856,109.773,109.828,1,0.01
07/08/2021 15:15,109.696,109.826,109.695,109.819,12.3,0.11
07/08/2021 15:00,109.573,109.699,109.552,109.697,12.4,0.11
07/08/2021 14:45,109.569,109.613,109.535,109.572,0.3,0
07/08/2021 14:30,109.597,109.602,109.537,109.567,-3,-0.03
07/08/2021 14:15,109.571,109.627,109.548,109.602,3.1,0.03
07/08/2021 14:00,109.671,109.671,109.542,109.57,-10.1,-0.09
07/08/2021 13:45,109.666,109.689,109.626,109.67,0.4,0
07/08/2021 13:30,109.692,109.74,109.646,109.666,-2.6,-0.02
07/08/2021 13:15,109.681,109.722,109.628,109.693,1.2,0.01
07/08/2021 13:00,109.672,109.74,109.642,109.681,0.9,0.01
07/08/2021 12:45,109.631,109.76,109.626,109.668,3.7,0.03
07/08/2021 12:30,109.677,109.696,109.6,109.621,-5.6,-0.05
07/08/2021 12:15,109.74,109.742,109.61,109.67,-7,-0.06
07/08/2021 12:00,109.749,109.755,109.648,109.74,-0.9,-0.01
07/08/2021 11:45,109.827,109.835,109.707,109.752,-7.5,-0.07
07/08/2021 11:30,109.834,109.835,109.773,109.821,-1.3,-0.01
07/08/2021 11:15,109.741,109.838,109.736,109.833,9.2,0.08
07/08/2021 11:00,109.809,109.854,109.736,109.744,-6.5,-0.06
07/08/2021 10:45,109.85,109.864,109.716,109.809,-4.1,-0.04
07/08/2021 10:30,109.838,109.888,109.779,109.854,1.6,0.01
07/08/2021 10:15,109.875,109.883,109.83,109.834,-4.1,-0.04
07/08/2021 10:00,109.907,109.957,109.872,109.876,-3.1,-0.03
07/08/2021 9:45,110.011,110.017,109.904,109.907,-10.4,-0.09
07/08/2021 9:30,109.936,110.047,109.922,110.009,7.3,0.07
07/08/2021 9:15,109.94,109.944,109.893,109.939,-0.1,0
07/08/2021 9:00,109.85,109.942,109.846,109.938,8.8,0.08
07/08/2021 8:45,109.804,109.864,109.798,109.853,4.9,0.04
07/08/2021 8:30,109.836,109.837,109.752,109.795,-4.1,-0.04
07/08/2021 8:15,109.878,109.897,109.803,109.842,-3.6,-0.03
07/08/2021 8:00,109.788,109.914,109.761,109.872,8.4,0.08
07/08/2021 7:45,109.962,109.962,109.763,109.789,-17.3,-0.16
07/08/2021 7:30,109.959,109.995,109.923,109.958,-0.1,0
07/08/2021 7:15,110.038,110.043,109.919,109.958,-8,-0.07
07/08/2021 7:00,110.163,110.199,110.022,110.041,-12.2,-0.11
07/08/2021 6:45,110.221,110.237,110.152,110.164,-5.7,-0.05
07/08/2021 6:30,110.261,110.303,110.206,110.217,-4.4,-0.04
07/08/2021 6:15,110.268,110.313,110.244,110.263,-0.5,0
07/08/2021 6:00,110.277,110.341,110.26,110.274,-0.3,0
07/08/2021 5:45,110.252,110.288,110.207,110.273,2.1,0.02
07/08/2021 5:30,110.388,110.393,110.246,110.251,-13.7,-0.12
07/08/2021 5:15,110.456,110.46,110.331,110.389,-6.7,-0.06
07/08/2021 5:00,110.528,110.535,110.449,110.456,-7.2,-0.07
07/08/2021 4:45,110.521,110.551,110.521,110.527,0.6,0.01
07/08/2021 4:30,110.546,110.552,110.521,110.522,-2.4,-0.02
07/08/2021 4:15,110.533,110.548,110.521,110.547,1.4,0.01
07/08/2021 4:00,110.566,110.568,110.523,110.53,-3.6,-0.03
07/08/2021 3:45,110.611,110.613,110.565,110.567,-4.4,-0.04
07/08/2021 3:30,110.574,110.619,110.564,110.605,3.1,0.03
07/08/2021 3:15,110.564,110.582,110.553,110.575,1.1,0.01
07/08/2021 3:00,110.582,110.585,110.558,110.566,-1.6,-0.01
07/08/2021 2:45,110.565,110.586,110.565,110.584,1.9,0.02
07/08/2021 2:30,110.575,110.609,110.565,110.566,-0.9,-0.01
07/08/2021 2:15,110.559,110.584,110.546,110.576,1.7,0.02
07/08/2021 2:00,110.502,110.562,110.424,110.557,5.5,0.05
07/08/2021 1:45,110.514,110.531,110.482,110.502,-1.2,-0.01
07/08/2021 1:30,110.48,110.527,110.474,110.516,3.6,0.03
07/08/2021 1:15,110.48,110.495,110.458,110.475,-0.5,0
07/08/2021 1:00,110.541,110.541,110.471,110.484,-5.7,-0.05
07/08/2021 0:45,110.565,110.574,110.524,110.542,-2.3,-0.02
07/08/2021 0:30,110.562,110.574,110.511,110.567,0.5,0
07/08/2021 0:15,110.564,110.57,110.543,110.559,-0.5,0
07/08/2021 0:00,110.634,110.649,110.547,110.566,-6.8,-0.06
07/07/2021 23:45,110.628,110.637,110.617,110.636,0.8,0.01
07/07/2021 23:30,110.606,110.629,110.602,110.625,1.9,0.02
07/07/2021 23:15,110.614,110.618,110.6,110.611,-0.3,0
07/07/2021 23:00,110.607,110.617,110.595,110.609,0.2,0
07/07/2021 22:45,110.618,110.622,110.592,110.604,-1.4,-0.01
07/07/2021 22:30,110.66,110.66,110.609,110.623,-3.7,-0.03
07/07/2021 22:15,110.637,110.674,110.633,110.659,2.2,0.02
07/07/2021 22:00,110.641,110.649,110.614,110.637,-0.4,0
07/07/2021 21:45,110.631,110.639,110.631,110.636,0.5,0
07/07/2021 21:30,110.615,110.635,110.613,110.635,2,0.02
07/07/2021 21:15,110.612,110.63,110.61,110.614,0.2,0
07/07/2021 21:00,110.632,110.649,110.608,110.611,-2.1,-0.02
07/07/2021 20:45,110.621,110.624,110.606,110.614,-0.7,-0.01
07/07/2021 20:30,110.635,110.653,110.615,110.621,-1.4,-0.01
07/07/2021 20:15,110.621,110.638,110.621,110.635,1.4,0.01
07/07/2021 20:00,110.61,110.635,110.61,110.623,1.3,0.01
07/07/2021 19:45,110.583,110.625,110.568,110.608,2.5,0.02
07/07/2021 19:30,110.599,110.6,110.577,110.583,-1.6,-0.01
07/07/2021 19:15,110.617,110.617,110.587,110.6,-1.7,-0.02
07/07/2021 19:00,110.622,110.634,110.605,110.618,-0.4,0
07/07/2021 18:45,110.62,110.632,110.606,110.62,0,0
07/07/2021 18:30,110.577,110.618,110.566,110.616,3.9,0.04
07/07/2021 18:15,110.601,110.602,110.547,110.579,-2.2,-0.02
07/07/2021 18:00,110.666,110.691,110.539,110.605,-6.1,-0.06
07/07/2021 17:45,110.702,110.702,110.642,110.664,-3.8,-0.03
07/07/2021 17:30,110.698,110.725,110.682,110.705,0.7,0.01
07/07/2021 17:15,110.679,110.698,110.667,110.696,1.7,0.02
07/07/2021 17:00,110.669,110.696,110.668,110.678,0.9,0.01
07/07/2021 16:45,110.655,110.689,110.651,110.673,1.8,0.02
07/07/2021 16:30,110.635,110.66,110.633,110.653,1.8,0.02
07/07/2021 16:15,110.637,110.65,110.627,110.63,-0.7,-0.01
07/07/2021 16:00,110.62,110.638,110.603,110.638,1.8,0.02
07/07/2021 15:45,110.63,110.636,110.606,110.623,-0.7,-0.01
07/07/2021 15:30,110.684,110.717,110.63,110.634,-5,-0.05
07/07/2021 15:15,110.665,110.683,110.621,110.679,1.4,0.01
07/07/2021 15:00,110.658,110.69,110.644,110.664,0.6,0.01
07/07/2021 14:45,110.725,110.727,110.634,110.659,-6.6,-0.06
07/07/2021 14:30,110.751,110.773,110.716,110.726,-2.5,-0.02
07/07/2021 14:15,110.769,110.813,110.731,110.748,-2.1,-0.02
07/07/2021 14:00,110.699,110.786,110.652,110.771,7.2,0.06
07/07/2021 13:45,110.711,110.727,110.676,110.695,-1.6,-0.01
07/07/2021 13:30,110.729,110.799,110.704,110.712,-1.7,-0.02
07/07/2021 13:15,110.675,110.768,110.668,110.731,5.6,0.05
07/07/2021 13:00,110.585,110.7,110.573,110.677,9.2,0.08
07/07/2021 12:45,110.545,110.589,110.52,110.584,3.9,0.04
07/07/2021 12:30,110.53,110.591,110.512,110.554,2.4,0.02
07/07/2021 12:15,110.607,110.615,110.506,110.532,-7.5,-0.07
07/07/2021 12:00,110.681,110.687,110.598,110.606,-7.5,-0.07
